section,tab_order,family,slot,glyph_block,glyph,display_glyph,shape_name,fh6_full_code_decimal,fh6_full_code_hex,fh6_shape_word_decimal,fh6_shape_word_hex,fh6_page_byte_decimal,fh6_low_byte_decimal,fh5_reference_code_decimal,fh5_reference_word_decimal,fh5_to_fh6_word_delta,confidence,fh5_difference_note,import_note,resource_path
shape_tab,1,Primitives,1,,,,Square,1048677,0x100065,101,0x0065,0,101,1048677,101,0,confirmed/import-tested type word,"Same order/code model as FH5 reference for this tab; FH6 importer writes the 16-bit shape word, not the whole 7-digit code.",Use full code in JSON or write shape_word at layer offset 0x7A.,tools/fabric-editor/Resources/Vinyls/Primitives/1.png
shape_tab,1,Primitives,2,,,,Hexagon,1048678,0x100066,102,0x0066,0,102,1048678,102,0,confirmed/import-tested type word,"Same order/code model as FH5 reference for this tab; FH6 importer writes the 16-bit shape word, not the whole 7-digit code.",Use full code in JSON or write shape_word at layer offset 0x7A.,tools/fabric-editor/Resources/Vinyls/Primitives/2.png
shape_tab,1,Primitives,3,,,,Half Circle,1048679,0x100067,103,0x0067,0,103,1048679,103,0,confirmed/import-tested type word,"Same order/code model as FH5 reference for this tab; FH6 importer writes the 16-bit shape word, not the whole 7-digit code.",Use full code in JSON or write shape_word at layer offset 0x7A.,tools/fabric-editor/Resources/Vinyls/Primitives/3.png
shape_tab,1,Primitives,4,,,,Triangle Border,1048680,0x100068,104,0x0068,0,104,1048680,104,0,confirmed/import-tested type word,"Same order/code model as FH5 reference for this tab; FH6 importer writes the 16-bit shape word, not the whole 7-digit code.",Use full code in JSON or write shape_word at layer offset 0x7A.,tools/fabric-editor/Resources/Vinyls/Primitives/4.png
shape_tab,1,Primitives,5,,,,Cut Square Border,1048681,0x100069,105,0x0069,0,105,1048681,105,0,confirmed/import-tested type word,"Same order/code model as FH5 reference for this tab; FH6 importer writes the 16-bit shape word, not the whole 7-digit code.",Use full code in JSON or write shape_word at layer offset 0x7A.,tools/fabric-editor/Resources/Vinyls/Primitives/5.png
shape_tab,1,Primitives,6,,,,Fat Five Pointed Star,1048682,0x10006a,106,0x006a,0,106,1048682,106,0,confirmed/import-tested type word,"Same order/code model as FH5 reference for this tab; FH6 importer writes the 16-bit shape word, not the whole 7-digit code.",Use full code in JSON or write shape_word at layer offset 0x7A.,tools/fabric-editor/Resources/Vinyls/Primitives/6.png
shape_tab,1,Primitives,7,,,,Up Arrow,1048683,0x10006b,107,0x006b,0,107,1048683,107,0,confirmed/import-tested type word,"Same order/code model as FH5 reference for this tab; FH6 importer writes the 16-bit shape word, not the whole 7-digit code.",Use full code in JSON or write shape_word at layer offset 0x7A.,tools/fabric-editor/Resources/Vinyls/Primitives/7.png
shape_tab,1,Primitives,8,,,,Quarter Donut,1048684,0x10006c,108,0x006c,0,108,1048684,108,0,confirmed/import-tested type word,"Same order/code model as FH5 reference for this tab; FH6 importer writes the 16-bit shape word, not the whole 7-digit code.",Use full code in JSON or write shape_word at layer offset 0x7A.,tools/fabric-editor/Resources/Vinyls/Primitives/8.png
shape_tab,1,Primitives,9,,,,Two Piece Triangle Border,1048685,0x10006d,109,0x006d,0,109,1048685,109,0,confirmed/import-tested type word,"Same order/code model as FH5 reference for this tab; FH6 importer writes the 16-bit shape word, not the whole 7-digit code.",Use full code in JSON or write shape_word at layer offset 0x7A.,tools/fabric-editor/Resources/Vinyls/Primitives/9.png
shape_tab,1,Primitives,10,,,,South West Less Than,1048686,0x10006e,110,0x006e,0,110,1048686,110,0,confirmed/import-tested type word,"Same order/code model as FH5 reference for this tab; FH6 importer writes the 16-bit shape word, not the whole 7-digit code.",Use full code in JSON or write shape_word at layer offset 0x7A.,tools/fabric-editor/Resources/Vinyls/Primitives/10.png
